State,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific
Alabama,4830620,2341093,2489527,217.90000000000003,4390.700000000001,1907.6000000000004,40.00000000000001,43.2,1.7
Alaska,733375,384160,349215,133.5,1430.8999999999999,41.1,891.8,172.60000000000002,18.599999999999994
Arizona,6641928,3299088,3342840,456.50000000000006,773.2,26.500000000000004,197.69999999999996,18.7,1.8000000000000003
Arkansas,2958208,1451913,1506295,370.19999999999993,5711.599999999999,1205.2000000000007,36.0,51.00000000000001,5.1000000000000005
California,38421464,19087135,19334329,1712.0999999999997,3222.300000000001,173.30000000000004,91.60000000000005,400.1000000000001,19.900000000000006
Colorado,5278906,2648667,2630239,1260.9999999999998,4798.5,103.40000000000002,55.40000000000001,68.20000000000002,7.3999999999999995
Connecticut,3593222,1751607,1841615,87.10000000000001,615.7,51.199999999999996,0.9,27.399999999999995,0.0
Delaware,926454,448413,478041,24.9,198.3,59.4,1.1,8.2,0.0
District of Columbia,647484,306674,340810,10.2,35.6,48.0,0.2,3.6,0.0
Florida,19645772,9600009,10045763,888.1000000000001,4601.199999999999,955.8000000000001,24.900000000000006,101.1,3.4000000000000017
Georgia,10006693,4883331,5123362,966.6000000000001,10035.100000000002,4450.799999999999,25.500000000000014,179.00000000000006,4.2
Hawaii,1406299,709871,696428,47.39999999999999,149.4,4.3,0.7000000000000001,144.5,73.69999999999999
Idaho,1616547,810464,806083,546.5999999999999,3671.6,14.7,59.9,26.500000000000007,3.400000000000001
Illinois,12873761,6316899,6556862,475.9000000000003,8911.200000000003,525.8,14.399999999999983,117.20000000000003,1.2
Indiana,6568645,3235263,3333382,338.59999999999985,8390.499999999998,241.00000000000009,17.19999999999999,81.79999999999997,2.1
Iowa,3093526,1534595,1558931,422.00000000000006,9109.800000000001,119.79999999999995,26.799999999999997,94.39999999999998,4.599999999999999
Kansas,2892987,1439862,1453125,983.0,8957.8,183.50000000000003,79.50000000000001,78.10000000000002,4.199999999999999
Kentucky,4397353,2164208,2233145,261.30000000000007,11051.6,438.7999999999997,19.0,55.09999999999999,4.000000000000001
Louisiana,4625253,2261156,2364097,210.09999999999997,3970.6,2030.4000000000003,38.6,49.80000000000001,2.0
Maine,1329100,650081,679019,21.099999999999998,1514.1999999999998,11.1,11.5,12.9,0.1
Maryland,5930538,2872643,3057895,131.2,1654.2999999999997,474.8999999999999,4.000000000000001,76.99999999999999,0.6
Massachusetts,6705586,3249650,3455936,120.0,1110.4,78.7,2.600000000000001,53.699999999999996,0.1
Michigan,9900571,4861973,5038598,274.4999999999999,7341.499999999998,325.1000000000001,104.49999999999999,80.99999999999997,1.0999999999999999
Minnesota,5419171,2692166,2727005,349.0,7794.799999999998,124.89999999999998,163.30000000000007,118.00000000000001,3.900000000000001
Mississippi,2988081,1451723,1536358,191.2,4493.2,3365.6999999999985,40.30000000000001,41.800000000000026,0.8999999999999999
Missouri,6045448,2964003,3081445,302.3999999999999,10449.999999999998,404.79999999999984,54.50000000000001,70.1,10.599999999999998
Montana,1014699,510163,504536,139.79999999999998,4884.599999999999,13.899999999999995,427.80000000000007,23.599999999999994,5.299999999999999
Nebraska,1869365,929606,939759,565.7,8384.099999999999,71.10000000000001,107.70000000000003,47.00000000000002,4.899999999999998
Nevada,2798636,1407735,1390901,286.9,1241.3999999999999,34.49999999999999,63.29999999999999,32.199999999999996,4.800000000000001
New Hampshire,1324201,653484,670717,21.9,933.1,9.2,2.5000000000000004,17.2,0.1
New Jersey,8904413,4343027,4561386,342.7,1330.7,239.70000000000002,2.300000000000001,143.8,0.2
New Mexico,2084117,1032414,1051703,1539.3,1419.7000000000003,42.400000000000006,223.10000000000002,25.5,0.7999999999999999
New York,19673174,9541801,10131373,457.8000000000001,5071.000000000001,358.1,23.900000000000013,167.99999999999994,0.7999999999999999
North Carolina,9845333,4795408,5049925,685.8000000000001,6846.200000000002,2023.3999999999996,149.4,108.49999999999999,4.4
North Dakota,721640,367963,353677,128.09999999999997,4686.6,30.50000000000001,347.0,26.30000000000001,1.5
Ohio,11575977,5662893,5913084,218.10000000000002,7974.500000000001,358.0,12.599999999999993,75.49999999999999,1.4
Oklahoma,3849733,1906944,1942789,645.4999999999999,5521.399999999999,262.30000000000007,654.7,55.50000000000003,7.399999999999997
Oregon,3939233,1948453,1990780,407.79999999999995,2938.1999999999994,26.200000000000006,60.400000000000006,56.50000000000001,7.900000000000001
Pennsylvania,12779559,6245344,6534215,263.3,5946.6,296.19999999999993,8.299999999999995,90.40000000000002,0.8
Puerto Rico,3583073,1713860,1869213,7725.9000000000015,52.00000000000001,3.800000000000001,0.3,3.500000000000001,0.1
Rhode Island,1053661,510388,543273,34.7,425.70000000000005,15.0,1.5,11.5,0.1
South Carolina,4777576,2322409,2455167,201.7,2630.5,1644.3000000000002,16.099999999999998,34.500000000000014,2.2000000000000006
South Dakota,843190,423477,419713,158.49999999999997,5321.400000000001,37.199999999999996,902.9000000000001,42.10000000000002,3.6000000000000005
Tennessee,6499615,3167756,3331859,306.49999999999994,8242.3,689.1999999999998,23.899999999999995,58.0,2.3000000000000003
Texas,26538614,13171316,13367298,8573.799999999996,14573.700000000006,1589.1999999999998,97.2,235.69999999999993,14.199999999999985
Utah,2903379,1459229,1444150,252.6,2482.8999999999996,13.899999999999999,76.49999999999999,24.599999999999994,9.399999999999999
Vermont,626604,308573,318031,22.199999999999996,1323.1000000000001,9.999999999999998,5.7,12.3,0.30000000000000004
Virginia,8256630,4060948,4195682,645.4000000000003,9595.200000000004,2473.2999999999993,32.400000000000034,270.29999999999995,4.8
Washington,6985464,3487725,3497739,529.9000000000001,3007.0000000000005,48.1,79.3,97.4,11.4
West Virginia,1851420,913631,937789,61.0,5201.900000000001,125.8,7.6999999999999975,21.30000000000001,0.9999999999999999
Wisconsin,5742117,2851385,2890732,249.70000000000002,6459.999999999999,109.00000000000003,189.19999999999996,86.20000000000005,1.1
Wyoming,579679,295561,284118,190.10000000000002,2002.9,12.8,32.1,15.2,1.0
